n_unique_values,std_dev,max_relative_frequency,norm_entropy,min_value,max_value,range_value,shannon_entropy,simpson_index,skewness_probs,kurtosis_probs,dispersion_index,uniformity,top2_ratio,top3_ratio,variable,dataset,type
3,0.734678409594245,0.447056922393245,0.936111400762499,1,3,2,1.02842348844,0.624439421489161,-0.303242367575661,-2.33333333333333,0.0633408677662588,0.936111400762499,0.830363996283279,1,DOMM,SN217,N
2,0.228346068378875,0.944814769926878,0.308027848126816,1,2,1,0.21350863446305,0.104279640909798,0,0,0.791440718180404,0.308027848126816,1,1,CITT,SN217,N
2,0.264186973349846,0.924509208662214,0.386087913268262,1,2,1,0.267615748530169,0.139583863521962,0,0,0.720832272956077,0.386087913268262,1,1,PENDO,SN217,N
82,92.2024105362479,0.100219058050383,0.737504761287763,9,320,311,3.24997642651582,0.944575074169025,2.24724630926779,3.97944863774595,0.0437635051622216,0.737504761287763,0.188937568455641,0.264512595837897,PENGIOM,SN217,S
1,0,1,0,1,1,0,0,0,0,0,NA,0,1,1,PENLAV,SN217,N
1,0,1,0,2,2,0,0,0,0,0,NA,0,1,1,PENSTU,SN217,N
1,0,1,0,3,3,0,0,0,0,0,NA,0,1,1,PENSAL,SN217,N
1,0,1,0,4,4,0,0,0,0,0,NA,0,1,1,PENCON,SN217,N
1,0,1,0,5,5,0,0,0,0,0,NA,0,1,1,PENGEN,SN217,N
1,0,1,0,6,6,0,0,0,0,0,NA,0,1,1,PENFIG,SN217,N
1,0,1,0,7,7,0,0,0,0,0,NA,0,1,1,PENFRA,SN217,N
1,0,1,0,8,8,0,0,0,0,0,NA,0,1,1,PENPAR,SN217,N
1,0,1,0,9,9,0,0,0,0,0,NA,0,1,1,PENAMI,SN217,N
1,0,1,0,10,10,0,0,0,0,0,NA,0,1,1,PENINT,SN217,N
1,0,1,0,11,11,0,0,0,0,0,NA,0,1,1,PENCOM,SN217,N
1,0,1,0,12,12,0,0,0,0,0,NA,0,1,1,PENALT,SN217,N
6,1.37592884709877,0.355591748099891,0.895866056320613,1,6,5,1.60517648957245,0.772634192405224,0.503666893382076,-1.136379031768,0.0728389691137307,0.895866056320613,0.56786102062975,0.723669923995657,PENOVE,SN217,N
1,0,1,0,1,1,0,0,0,0,0,NA,0,1,1,ABIALB,SN217,N
1,0,1,0,2,2,0,0,0,0,0,NA,0,1,1,ABICAM,SN217,N
1,0,1,0,3,3,0,0,0,0,0,NA,0,1,1,ABIAFF,SN217,N
1,0,1,0,4,4,0,0,0,0,0,NA,0,1,1,ABIABI,SN217,N
1,0,1,0,5,5,0,0,0,0,0,NA,0,1,1,ABICON,SN217,N
1,0,1,0,6,6,0,0,0,0,0,NA,0,1,1,ABIGEN,SN217,N
1,0,1,0,7,7,0,0,0,0,0,NA,0,1,1,ABIPAR,SN217,N
1,0,1,0,8,8,0,0,0,0,0,NA,0,1,1,ABIAM,SN217,N
1,0,1,0,9,9,0,0,0,0,0,NA,0,1,1,ABIIST,SN217,N
1,0,1,0,10,10,0,0,0,0,0,NA,0,1,1,ABICAS,SN217,N
1,0,1,0,11,11,0,0,0,0,0,NA,0,1,1,ABIALT,SN217,N
1,0,1,0,2,2,0,0,0,0,0,NA,0,1,1,CONCON,SN217,N
1,0,1,0,3,3,0,0,0,0,0,NA,0,1,1,CONPA,SN217,N
1,0,1,0,4,4,0,0,0,0,0,NA,0,1,1,CONGEN,SN217,N
1,0,1,0,5,5,0,0,0,0,0,NA,0,1,1,CONFIG,SN217,N
1,0,1,0,6,6,0,0,0,0,0,NA,0,1,1,CONSUO,SN217,N
1,0,1,0,7,7,0,0,0,0,0,NA,0,1,1,CONPAR,SN217,N
1,0,1,0,8,8,0,0,0,0,0,NA,0,1,1,CONSTU,SN217,N
1,0,1,0,9,9,0,0,0,0,0,NA,0,1,1,CONAMI,SN217,N
1,0,1,0,1,1,0,0,0,0,0,NA,0,1,1,MANLEI,SN217,N
1,0,1,0,2,2,0,0,0,0,0,NA,0,1,1,MANFAM,SN217,N
1,0,1,0,3,3,0,0,0,0,0,NA,0,1,1,MANOSP,SN217,N
1,0,1,0,4,4,0,0,0,0,0,NA,0,1,1,MANBOR,SN217,N
1,0,1,0,5,5,0,0,0,0,0,NA,0,1,1,MANDAT,SN217,N
1,0,1,0,6,6,0,0,0,0,0,NA,0,1,1,MANALT,SN217,N
5,0.902767971689904,0.48461696446909,0.785194990685289,1,5,4,1.26372258666224,0.667465243940428,0.484828982947512,-1.54423572937802,0.165668445074465,0.785194990685289,0.705812281782707,0.915259806941877,SALUTE,SN217,O
2,0.413314864376155,0.781385921202652,0.757628765086207,1,2,1,0.525148242430618,0.34164392669787,0,0,0.31671214660426,0.757628765086207,1,1,MALCRO,SN217,N
2,0.316496001300072,0.887084393810851,0.508648149596272,1,2,1,0.352568030789689,0.200331344136172,0,0,0.599337311727657,0.508648149596272,1,1,FRASOR,SN217,N
7,1.76350464384448,0.362236997905092,0.846845394776612,1,7,6,1.64788504837656,0.764187418020447,0.722554899141257,-1.33695625838271,0.108448012309478,0.846845394776612,0.628290372529374,0.766873121413608,NFRASORM,SN217,S
2,0.216448401662696,0.950724109663904,0.283312992382616,1,2,1,0.196377601886012,0.0936955539353623,0,0,0.812608892129275,0.283312992382616,1,1,FRAT,SN217,N
