REFYEAR,SEX,AGE,STAPRO,HWACTUAL,COEFF
2013,1,65,9,99,0.149291543
2013,2,7,9,99,0.2203694571
2013,1,65,9,99,0.0390772001
2013,1,20,9,99,0.026614939
2013,1,65,9,99,0.1611294886
2013,2,32,5,25,0.3238851547
2013,2,65,9,99,0.1696494574
2013,2,65,9,99,0.136269128
2013,1,47,5,32,0.1796038849
2013,2,65,5,40,0.1144001608
2013,1,47,5,40,0.1909683797
2013,1,47,5,37,0.164830557
2013,1,65,5,40,0.0725924532
2013,2,32,9,99,0.1773435482
2013,1,47,5,40,0.1423533359
2013,1,20,9,99,0.0673550279
2013,1,65,9,99,0.1999368282
2013,2,65,9,99,0.104693478
2013,1,7,9,99,0.2410593939
2013,1,20,9,99,0.0705415739
2013,1,75,9,99,0.0703310676
2013,1,65,9,99,0.0550665332
2013,1,20,9,99,0.1065867992
2013,2,20,9,99,0.0972874935
2013,1,20,9,99,0.0864733709
2013,1,32,9,99,0.2333878589
2013,2,65,9,99,0.089928498
2013,2,47,5,22,0.0698803461
2013,1,32,9,99,0.0786225524
2013,1,20,9,99,0.0842388867
2013,2,47,5,0,0.0780730994
2013,2,47,5,38,0.1516173582
2013,1,65,9,99,0.2842029878
2013,1,32,9,99,0.2836178088
2013,2,65,9,99,0.1808441992
2013,1,65,9,99,0.0489815155
2013,2,65,9,99,0.1079051704
2013,1,47,9,99,0.1376594857
2013,2,20,9,99,0.307903053
2013,2,47,5,36,0.2191706804
2013,2,65,5,10,0.2216892002
2013,2,75,9,99,0.1011156774
2013,1,65,9,99,0.079736878
2013,2,7,9,99,0.3393689059
2013,2,65,0,36,0.1370194659
2013,1,65,9,99,0.1056033972
2013,2,75,9,99,0.1137210957
2013,2,65,5,40,0.139843765
2013,1,7,9,99,0.1040428001
2013,2,32,5,40,0.2153562207
2013,1,7,9,99,0.1078248862
2013,1,65,9,99,0.0418765589
2013,2,65,9,99,0.1897528229
2013,2,47,5,36,0.1478360113
2013,1,47,5,26,0.1667431902
